last_name, first_name,player_id,display_team_name,year,primary_pos_formatted,fielding_runs_prevented,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted
McCutchen, Andrew,457705,---,2018,RF,-9,-10,-1,-3,-4,-1,-5,-4,83%,86%,-3%
McKinney, Billy,641856,---,2018,LF,0,0,0,-1,0,0,0,0,86%,87%,-1%
McMahon, Ryan,641857,Rockies,2018,2B,3,3,1,1,2,0,3,0,92%,87%,5%
McNeil, Jeff,643446,Mets,2018,2B,2,3,2,1,0,0,1,2,88%,86%,2%
Meadows, Austin,640457,---,2018,CF,-2,-2,0,0,-2,0,-1,-1,85%,88%,-3%
Mercer, Jordy,474568,Pirates,2018,SS,4,5,5,-5,5,1,1,4,85%,84%,1%
Merrifield, Whit,593160,Royals,2018,2B,0,0,-1,2,-4,3,1,-1,88%,87%,1%
Miller, Brad,543543,---,2018,2B,-2,-2,-3,1,1,0,0,-2,87%,90%,-3%
Moncada, Yoan,660162,White Sox,2018,2B,-11,-14,-8,-6,-1,1,2,-16,86%,90%,-4%
Mondesi, Adalberto,609275,Royals,2018,SS,2,2,-2,1,2,1,-2,5,87%,86%,1%
Morales, Kendrys,434778,Blue Jays,2018,1B,1,2,1,1,0,0,1,1,94%,84%,10%
Moran, Colin,592567,Pirates,2018,3B,-7,-10,2,-5,-7,0,-9,-1,82%,86%,-4%
Moreland, Mitch,519048,Red Sox,2018,1B,3,4,0,2,2,0,5,0,93%,90%,3%
Moroff, Max,621559,Pirates,2018,2B,0,0,-1,0,0,0,1,-1,87%,87%,0%
Morrison, Logan,489149,Twins,2018,1B,-1,-1,0,-1,-1,0,0,-1,91%,93%,-2%
Motter, Taylor,600301,---,2018,SS,-1,-1,-1,-1,0,0,0,-1,79%,86%,-7%
Moustakas, Mike,519058,---,2018,3B,1,1,2,0,-1,0,0,2,88%,87%,1%
Mullins, Cedric,656775,Orioles,2018,CF,1,1,0,0,1,0,1,0,86%,86%,0%
Muncy, Max,571970,Dodgers,2018,1B,-5,-7,-6,0,0,-1,-7,0,84%,88%,-4%
Munoz, Yairo,622168,Cardinals,2018,SS,-10,-13,-6,-5,0,-3,-11,-2,81%,87%,-6%
Murphy, Daniel,502517,---,2018,2B,-3,-3,-3,0,0,-1,-4,1,85%,88%,-3%
Myers, Wil,571976,Padres,2018,LF,-3,-3,-3,0,0,0,-1,-2,87%,90%,-3%
Naquin, Tyler,571980,Indians,2018,RF,-4,-4,1,-1,-1,-2,-1,-3,86%,89%,-3%
Negron, Kristopher,502117,---,2018,3B,1,1,1,0,0,0,1,0,88%,84%,4%
Newman, Kevin,621028,Pirates,2018,SS,-3,-4,-1,-3,-1,1,0,-3,80%,85%,-5%
Ngoepe, Gift,547912,Blue Jays,2018,SS,0,0,0,0,0,0,1,-1,86%,87%,-1%
Nimmo, Brandon,607043,Mets,2018,RF,5,5,1,1,2,1,1,4,91%,89%,2%
Nunez, Eduardo,456488,Red Sox,2018,2B,-4,-5,3,-6,1,-2,-1,-4,84%,86%,-2%
Nunez, Renato,600524,---,2018,3B,-6,-8,-8,-3,2,0,-6,-2,81%,86%,-5%
O'Brien, Peter,598284,Marlins,2018,1B,0,0,0,0,0,0,0,0,80%,79%,1%
O'Hearn, Ryan,656811,Royals,2018,1B,1,2,1,0,0,0,1,0,96%,91%,5%
O'Neill, Tyler,641933,Cardinals,2018,RF,2,2,1,-1,1,1,1,1,87%,83%,4%
Odor, Rougned,596059,Rangers,2018,2B,7,9,2,-3,6,4,3,6,89%,87%,2%
Olson, Matt,621566,Athletics,2018,1B,2,3,0,6,-4,1,-2,5,91%,90%,1%
Orf, Nate,644337,Brewers,2018,2B,1,1,0,1,0,0,0,1,100%,90%,10%
Orlando, Paulo,449181,Royals,2018,CF,0,0,1,-1,0,0,-1,1,84%,84%,0%
Ortega, Rafael,542364,Marlins,2018,RF,-1,-1,1,1,-3,0,0,-2,83%,85%,-2%
Osuna, Jose,591741,Pirates,2018,1B,-1,-1,0,-1,-1,0,1,-2,93%,95%,-2%
Owings, Chris,572008,Diamondbacks,2018,RF,0,1,1,0,0,1,1,0,85%,84%,1%
Ozuna, Marcell,542303,Cardinals,2018,LF,-1,-1,1,1,-2,0,-2,0,84%,85%,-1%
Palka, Daniel,594953,White Sox,2018,RF,-14,-15,-5,-4,-3,-3,-12,-3,74%,86%,-12%
Panik, Joe,605412,Giants,2018,2B,1,2,-1,1,3,-1,0,2,90%,89%,1%
Parra, Gerardo,467827,Rockies,2018,LF,-2,-2,3,-4,0,-2,0,-2,84%,85%,-1%
Pearce, Steve,456665,---,2018,1B,0,0,1,-1,0,0,0,0,90%,89%,1%
Pederson, Joc,592626,Dodgers,2018,LF,-7,-7,0,-2,-7,1,-2,-5,84%,88%,-4%
Pence, Hunter,452254,Giants,2018,LF,-1,-1,1,0,-3,0,-1,-1,87%,89%,-2%
Pennington, Cliff,460060,Reds,2018,3B,0,0,0,-1,1,0,-1,1,79%,81%,-2%
Peralta, David,444482,Diamondbacks,2018,LF,0,0,1,-1,0,-1,-3,3,86%,86%,0%
Peraza, Jose,606299,Reds,2018,SS,4,5,6,-1,0,1,8,-3,87%,86%,1%
Perez, Hernan,541650,Brewers,2018,2B,2,3,0,0,2,0,4,-1,89%,87%,2%
Peterson, Jace,607054,---,2018,3B,0,0,2,1,-2,0,-2,2,84%,84%,0%
Petit, Gregorio,463610,Twins,2018,2B,0,0,0,-2,1,0,0,1,85%,85%,0%
Pham, Tommy,502054,---,2018,CF,1,1,-2,-1,2,1,0,1,89%,88%,1%
Phillips, Brett,621433,---,2018,CF,6,6,1,3,2,0,3,3,92%,86%,6%
Pillar, Kevin,607680,Blue Jays,2018,CF,1,1,2,1,-1,-1,1,0,87%,87%,0%
Pinder, Chad,640461,Athletics,2018,LF,6,7,3,2,1,2,2,5,93%,89%,4%
Pirela, Jose,517369,Padres,2018,2B,1,2,1,-1,2,0,1,1,88%,87%,1%
Piscotty, Stephen,572039,Athletics,2018,RF,-1,-1,2,-5,0,2,-1,-1,86%,86%,0%
Polanco, Gregory,570256,Pirates,2018,RF,-3,-3,2,-1,-3,-1,1,-5,84%,85%,-1%
Polanco, Jorge,593871,Twins,2018,SS,-4,-5,-1,-2,-3,1,-4,-1,85%,87%,-2%
Pollock, A.J.,572041,Diamondbacks,2018,CF,6,7,1,3,2,0,4,2,90%,87%,3%
Posey, Buster,457763,Giants,2018,1B,-1,-1,-2,0,0,0,0,-1,83%,88%,-5%
Powell, Boog,621471,Athletics,2018,CF,0,0,-1,1,0,0,0,0,84%,83%,1%
Prado, Martin,445988,Marlins,2018,3B,3,5,4,-1,2,0,4,1,93%,87%,6%
Profar, Jurickson,595777,Rangers,2018,SS,-9,-12,-8,-4,-1,0,-15,2,83%,87%,-4%
Puig, Yasiel,624577,Dodgers,2018,RF,-4,-5,-1,-1,-4,0,-2,-3,84%,87%,-3%
Pujols, Albert,405395,Angels,2018,1B,-4,-5,0,-2,-3,-1,-1,-4,85%,91%,-6%
Quinn, Roman,596451,Phillies,2018,CF,4,4,2,1,1,0,2,2,93%,88%,5%
Ramirez, Hanley,434670,Red Sox,2018,1B,1,1,0,0,0,0,0,1,79%,75%,4%
Ramirez, Jose,608070,Indians,2018,3B,1,2,4,-4,2,0,3,-2,86%,85%,1%
Rasmus, Colby,458675,Orioles,2018,RF,0,0,0,-1,0,0,0,0,76%,78%,-2%
Realmuto, J.T.,592663,Marlins,2018,1B,0,0,0,0,0,0,0,0,87%,86%,1%
Reddick, Josh,502210,Astros,2018,RF,6,7,3,2,1,1,5,2,89%,86%,3%
Refsnyder, Rob,608701,Rays,2018,LF,-1,-1,-1,0,1,0,0,0,83%,85%,-2%
Reinheimer, Jack,595373,Mets,2018,SS,0,0,1,0,0,0,0,0,84%,82%,2%
Rendon, Anthony,543685,Nationals,2018,3B,3,4,4,0,1,-1,3,1,90%,88%,2%
Renfroe, Hunter,592669,Padres,2018,RF,-1,-1,1,-1,-1,-1,2,-3,87%,88%,-1%
Reyes, Franmil,614177,Padres,2018,RF,-3,-4,-1,-1,-1,0,-1,-2,87%,90%,-3%
Reyes, Jose,408314,Mets,2018,SS,-2,-3,2,-2,-2,-1,-4,1,81%,84%,-3%
Reyes, Pablo,622569,Pirates,2018,RF,2,3,1,0,1,1,1,1,90%,82%,8%
Reyes, Victor,622682,Tigers,2018,CF,-1,-1,0,-1,-1,1,1,-2,86%,87%,-1%
Reynolds, Mark,448602,Nationals,2018,1B,-1,-1,0,-2,1,0,0,-1,84%,87%,-3%
Rickard, Joey,572073,Orioles,2018,RF,2,2,0,1,2,0,3,-1,91%,89%,2%
Riddle, JT,595375,Marlins,2018,SS,8,11,1,7,3,0,8,2,90%,86%,4%
Rivera, Yadiel,592680,Marlins,2018,3B,3,4,1,3,0,0,1,2,90%,86%,4%
Rizzo, Anthony,519203,Cubs,2018,1B,1,1,0,1,1,-1,0,1,91%,90%,1%
Robertson, Daniel,621002,Rays,2018,2B,2,2,-3,-2,7,1,1,1,89%,87%,2%
Robinson, Drew,592685,Rangers,2018,CF,-1,-2,-3,0,0,1,-2,0,86%,88%,-2%
Robinson, Shane,453203,Yankees,2018,RF,4,4,3,0,2,0,3,2,89%,77%,12%
Robles, Victor,645302,Nationals,2018,CF,1,2,0,1,1,0,1,1,94%,90%,4%
Rodriguez, Ronny,500135,Tigers,2018,SS,1,1,0,-1,1,1,-2,3,84%,84%,0%
Rodriguez, Sean,446481,Pirates,2018,2B,-1,-2,-2,0,1,-1,-1,-1,86%,87%,-1%
Rojas, Miguel,500743,Marlins,2018,SS,4,5,5,-3,3,-1,3,2,87%,86%,1%
Romine, Andrew,461865,Mariners,2018,SS,1,2,0,2,-1,2,0,1,88%,86%,2%
Rondon, Jose,602922,White Sox,2018,3B,0,0,-1,0,2,0,-1,1,84%,84%,0%
Rosales, Adam,489267,Indians,2018,2B,1,1,0,0,0,0,1,0,94%,88%,6%
Rosario, Amed,642708,Mets,2018,SS,-8,-10,-11,0,0,1,-9,-1,83%,86%,-3%
Rosario, Eddie,592696,Twins,2018,LF,-1,-1,0,-1,1,-1,1,-2,85%,85%,0%
Rua, Ryan,607387,Rangers,2018,LF,0,0,0,0,0,1,-2,2,86%,85%,1%
Russell, Addison,608365,Cubs,2018,SS,11,14,-1,4,8,3,10,5,86%,82%,4%
Saladino, Tyler,573135,---,2018,SS,0,1,0,1,-1,1,-1,1,89%,89%,0%
Sanchez, Adrian,506703,Nationals,2018,2B,0,0,-1,0,0,1,0,-1,83%,84%,-1%
Sanchez, Yolmer,570560,White Sox,2018,3B,3,3,-1,-4,7,1,4,-1,88%,87%,1%
Sandoval, Pablo,467055,Giants,2018,3B,-2,-3,-1,-1,-2,0,-2,-2,83%,87%,-4%
Sano, Miguel,593934,Twins,2018,3B,-2,-3,0,-1,-1,0,-4,1,85%,88%,-3%
Santana, Carlos,467793,Phillies,2018,1B,6,8,3,2,3,0,4,5,95%,91%,4%
Santana, Danny,542454,Braves,2018,LF,2,2,0,0,1,0,1,1,93%,79%,14%
Santana, Domingo,570267,Brewers,2018,RF,1,2,0,1,1,0,2,0,92%,90%,2%
Santander, Anthony,623993,Orioles,2018,RF,-1,-1,0,0,-1,1,-1,1,88%,88%,0%
Sardinas, Luis,596143,Orioles,2018,2B,-2,-2,0,-2,-1,0,0,-2,73%,91%,-18%
Schebler, Scott,594988,Reds,2018,RF,1,1,0,0,0,2,4,-3,88%,88%,0%
Schoop, Jonathan,570731,---,2018,2B,4,5,0,3,1,1,3,2,90%,89%,1%
Schwarber, Kyle,656941,Cubs,2018,LF,-7,-8,-1,-4,-3,0,-5,-4,81%,85%,-4%
Seager, Corey,608369,Dodgers,2018,SS,-1,-1,-1,-1,1,-1,0,-1,88%,90%,-2%
Seager, Kyle,572122,Mariners,2018,3B,-3,-4,4,-6,-2,0,-2,-2,86%,87%,-1%
Segura, Jean,516416,Mariners,2018,SS,2,3,-1,-2,5,0,1,2,88%,88%,0%
Semien, Marcus,543760,Athletics,2018,SS,-2,-3,2,-11,3,2,-2,-1,88%,88%,0%
Shaw, Chris,622046,Giants,2018,LF,0,0,0,0,0,0,0,0,82%,82%,0%
Shaw, Travis,543768,Brewers,2018,3B,3,4,1,-4,5,0,2,1,89%,87%,2%
Shuck, JB,543776,Marlins,2018,RF,-3,-3,0,-1,-1,-1,-3,0,83%,88%,-5%
Sierra, Magneuris,642423,Marlins,2018,CF,0,0,0,-1,0,1,0,1,91%,90%,1%
Sierra, Moises,501213,Nationals,2018,LF,1,2,0,1,1,0,1,0,100%,90%,10%
Simmons, Andrelton,592743,Angels,2018,SS,9,12,4,-3,9,3,9,4,89%,86%,3%
Slater, Austin,596103,Giants,2018,LF,-5,-5,1,1,-6,-1,2,-7,78%,82%,-4%
Smith Jr, Dwight,596105,Blue Jays,2018,LF,-1,-1,0,0,-1,0,-1,0,78%,81%,-3%
Smith, Dominic,642086,Mets,2018,1B,-3,-3,0,-2,-1,-1,-1,-2,79%,85%,-6%
Smith, Mallex,605480,Rays,2018,CF,-2,-2,-3,1,0,0,2,-4,85%,86%,-1%
Smoak, Justin,475253,Blue Jays,2018,1B,5,6,3,3,0,0,2,4,95%,91%,4%
Smolinski, Jake,519295,Athletics,2018,CF,2,2,0,1,1,0,0,2,97%,90%,7%
Sogard, Eric,519299,Brewers,2018,SS,0,0,2,-1,-1,0,-1,1,85%,86%,-1%
Solarte, Yangervis,500208,Blue Jays,2018,3B,1,2,2,0,1,-1,1,1,87%,86%,1%
Soler, Jorge,624585,Royals,2018,RF,-4,-4,1,-2,-5,1,-3,-2,85%,88%,-3%
Soto, Juan,665742,Nationals,2018,LF,-6,-6,-2,-3,-1,0,-3,-3,83%,86%,-3%
Souza Jr., Steven,519306,Diamondbacks,2018,RF,1,1,1,-2,1,1,2,-1,81%,81%,0%
Span, Denard,452655,---,2018,LF,-4,-4,1,-4,-1,0,-5,1,82%,84%,-2%
Spangenberg, Cory,605486,Padres,2018,2B,3,4,-2,0,4,2,2,1,89%,87%,2%
Springer, George,543807,Astros,2018,CF,0,0,2,-3,0,1,0,0,89%,89%,0%
Stanton, Giancarlo,519317,Yankees,2018,RF,2,2,1,1,2,-1,3,-1,85%,83%,2%
Stevenson, Andrew,664057,Nationals,2018,LF,-1,-1,0,-1,0,0,0,-1,79%,83%,-4%
Stewart, Christin,621514,Tigers,2018,LF,-1,-1,0,0,-2,0,-2,1,80%,83%,-3%
Stewart, DJ,621466,Orioles,2018,LF,1,1,0,0,0,0,0,1,92%,89%,3%
Story, Trevor,596115,Rockies,2018,SS,-1,-1,1,-5,4,-1,5,-6,87%,87%,0%
Suarez, Eugenio,553993,Reds,2018,3B,4,6,0,2,5,-1,6,0,87%,85%,2%
Suzuki, Ichiro,400085,Mariners,2018,LF,-2,-3,0,0,-1,-2,-2,-1,78%,88%,-10%
Swanson, Dansby,621020,Braves,2018,SS,3,4,0,1,4,0,5,-1,86%,85%,1%
Swihart, Blake,596119,Red Sox,2018,RF,-3,-3,0,-1,-1,-1,-3,-1,85%,95%,-10%
Szczur, Matt,519333,Padres,2018,RF,-1,-1,0,0,-1,0,0,-1,86%,90%,-4%
Tauchman, Mike,643565,Rockies,2018,CF,0,0,0,0,0,0,0,0,82%,80%,2%
Taylor, Chris,621035,Dodgers,2018,SS,6,8,4,-1,6,0,3,4,89%,87%,2%
Taylor, Michael A.,572191,Nationals,2018,CF,8,9,-1,5,5,1,3,6,90%,86%,4%
Tellez, Rowdy,642133,Blue Jays,2018,1B,-1,-1,0,1,-1,0,0,-1,92%,95%,-3%
Thames, Eric,519346,Brewers,2018,RF,-6,-7,1,-4,-1,-3,-1,-6,86%,93%,-7%
Thompson, Trayce,572204,---,2018,RF,-2,-2,0,1,-2,-1,1,-3,84%,86%,-2%
Tilson, Charlie,605508,White Sox,2018,LF,-5,-5,-1,-2,-2,0,-2,-3,78%,84%,-6%
Tocci, Carlos,624636,Rangers,2018,CF,4,4,0,3,1,0,4,1,92%,88%,4%
Toles, Andrew,592808,Dodgers,2018,CF,0,0,0,0,0,0,0,0,92%,93%,-1%
Tomlinson, Kelby,605509,Giants,2018,2B,0,0,1,-1,0,0,1,-2,86%,87%,-1%
Torres, Gleyber,650402,Yankees,2018,2B,-3,-4,-3,-3,0,1,-1,-3,86%,87%,-1%
Torres, Ramon,593527,Royals,2018,3B,0,0,-1,0,0,0,0,0,83%,86%,-3%
Torreyes, Ronald,591720,Yankees,2018,2B,-2,-2,0,-1,-1,0,-1,-1,87%,90%,-3%
Travis, Devon,581527,Blue Jays,2018,2B,-7,-10,-1,-4,-4,-1,-6,-4,85%,88%,-3%
Travis, Sam,607752,Red Sox,2018,LF,-1,-2,0,0,0,-2,-1,-1,67%,81%,-14%
Trout, Mike,545361,Angels,2018,CF,5,6,-1,3,2,1,4,2,90%,88%,2%
Trumbo, Mark,444432,Orioles,2018,RF,-3,-4,0,-2,-1,-1,-2,-2,79%,89%,-10%
Tucker, Kyle,663656,Astros,2018,LF,-1,-1,0,-1,0,-1,-1,0,78%,83%,-5%
Tucker, Preston,605512,---,2018,LF,-3,-4,-1,-1,-2,0,0,-4,84%,89%,-5%
Turner, Justin,457759,Dodgers,2018,3B,-2,-3,-2,-4,2,0,-1,-2,89%,90%,-1%
Turner, Trea,607208,Nationals,2018,SS,2,3,0,-4,6,0,1,1,85%,85%,0%
Upton, Justin,457708,Angels,2018,LF,-5,-6,0,2,-2,-4,-2,-4,86%,88%,-2%
Urena, Richard,620446,Blue Jays,2018,SS,-1,-1,0,1,-2,0,-2,0,88%,90%,-2%
Urias, Luis,649966,Padres,2018,2B,2,2,0,-1,2,1,1,1,85%,79%,6%
Urshela, Gio,570482,Blue Jays,2018,SS,-2,-2,-2,0,0,0,-2,0,73%,79%,-6%
Utley, Chase,400284,Dodgers,2018,2B,0,-1,0,-1,0,0,0,-1,86%,87%,-1%
Valaika, Pat,642162,Rockies,2018,2B,-2,-3,0,-2,0,0,-3,0,82%,86%,-4%
Valbuena, Luis,472528,Angels,2018,3B,-2,-3,0,-2,0,0,-2,-1,86%,89%,-3%
Valencia, Danny,502143,Orioles,2018,3B,-4,-5,1,-2,-2,-2,-3,-2,82%,86%,-4%
Valentin, Jesmuel,621044,Phillies,2018,3B,-2,-2,-1,0,-1,0,-2,0,79%,86%,-7%
Valera, Breyvic,591971,---,2018,2B,1,1,0,0,0,1,0,1,94%,91%,3%
Vargas, Ildemaro,545121,Diamondbacks,2018,3B,0,0,-2,0,2,0,0,0,82%,81%,1%
Verdugo, Alex,657077,Dodgers,2018,RF,0,0,0,0,0,-1,-1,0,84%,86%,-2%
Villanueva, Christian,570799,Padres,2018,3B,-1,-2,-3,0,1,0,0,-2,85%,86%,-1%
Villar, Jonathan,542340,---,2018,2B,0,-1,-3,-2,4,1,4,-5,88%,88%,0%
Vogelbach, Daniel,596129,Mariners,2018,1B,0,0,-1,0,0,0,-1,1,90%,90%,0%
Voit, Luke,572228,---,2018,1B,-2,-2,-2,-1,1,0,-1,-1,85%,90%,-5%
Votto, Joey,458015,Reds,2018,1B,0,1,-1,1,1,0,-2,2,90%,90%,0%
Wade, Tyler,642180,Yankees,2018,2B,0,1,0,0,0,0,1,-1,92%,91%,1%
Walker, Neil,435522,Yankees,2018,2B,-5,-6,-4,0,-2,-1,-4,-2,84%,87%,-3%
Ward, Taylor,621493,Angels,2018,3B,-2,-3,1,-3,0,0,-4,1,85%,88%,-3%
Wendle, Joey,621563,Rays,2018,2B,4,5,-2,-2,6,1,3,2,87%,86%,1%
White, Tyler,643603,Astros,2018,1B,-1,-1,-1,-1,0,0,-2,0,86%,91%,-5%
Wilkerson, Stevie,592859,Orioles,2018,2B,-3,-4,-1,-2,0,0,-2,-1,83%,91%,-8%
Williams, Mason,592863,Reds,2018,RF,0,0,0,0,0,-1,0,-1,85%,86%,-1%
Williams, Nick,608384,Phillies,2018,RF,-7,-8,0,-4,-3,-1,-3,-5,80%,85%,-5%
Williamson, Mac,607776,Giants,2018,LF,1,1,1,0,0,1,0,1,85%,83%,2%
Winker, Jesse,608385,Reds,2018,RF,-4,-5,-2,-2,-2,1,-2,-3,86%,90%,-4%
Wisdom, Patrick,621550,Cardinals,2018,3B,-2,-2,-2,-1,0,0,-1,-1,73%,83%,-10%
Wong, Kolten,543939,Cardinals,2018,2B,8,11,2,5,2,3,4,7,91%,87%,4%
Yelich, Christian,592885,Brewers,2018,RF,4,4,1,1,0,3,0,4,88%,87%,1%
Young Jr., Eric,458913,Angels,2018,CF,1,1,0,0,1,-1,1,0,87%,86%,1%
Young, Chris,455759,Angels,2018,CF,0,0,0,0,1,0,0,0,86%,87%,-1%
Zimmer, Bradley,605548,Indians,2018,CF,0,0,0,0,1,0,1,-1,87%,86%,1%
Zimmerman, Ryan,475582,Nationals,2018,1B,-1,-1,0,-1,-1,0,1,-2,90%,91%,-1%
Zobrist, Ben,450314,Cubs,2018,RF,3,4,4,0,2,-2,2,2,91%,89%,2%
d'Arnaud, Chase,488818,Giants,2018,2B,1,2,0,1,1,0,1,1,96%,92%,4%
den Dekker, Matthew,544925,Mets,2018,CF,-1,-2,0,-1,0,0,-1,-1,83%,90%,-7%
