last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Johnson, Sherman,582473,108,LAA,2B,28,6,,27.2
Utley, Chase,400284,119,LAD,2B,40,71,4.27,27.2
Delmonico, Nicky,547170,145,CWS,LF,26,117,4.51,27.2
Blash, Jabari,518466,108,LAA,RF,29,7,,27.2
LeMahieu, DJ,518934,115,COL,2B,30,279,4.46,27.1
Simmons, Andrelton,592743,108,LAA,SS,29,293,4.48,27.1
Anderson, Brian,605119,146,MIA,RF,25,282,4.44,27.1
Bell, Josh,605137,134,PIT,1B,26,248,4.41,27.1
Verdugo, Alex,657077,119,LAD,LF,22,39,4.25,27.1
Swihart, Blake,596119,111,BOS,C,26,81,4.33,27.1
Martini, Nick,605361,133,OAK,LF,28,81,4.37,27.1
Young, Chris,455759,108,LAA,RF,35,35,4.46,27.1
Stewart, Christin,621514,116,DET,LF,25,24,,27.1
Torres, Gleyber,650402,147,NYY,2B,22,130,4.36,27.1
Schwarber, Kyle,656941,112,CHC,LF,25,161,4.29,27.1
Tucker, Preston,605512,144,ATL,LF,28,65,4.34,27.1
Harrison, Josh,543281,134,PIT,2B,31,138,4.37,27.1
Cozens, Dylan,622226,143,PHI,LF,24,10,,27.1
Thames, Eric,519346,158,MIL,1B,32,73,4.27,27.0
Andrus, Elvis,462101,140,TEX,SS,30,199,4.38,27.1
Castro, Daniel,593495,115,COL,2B,26,24,4.34,27.0
Herrmann, Chris,543302,136,SEA,C,31,21,,27.0
Sierra, Moises,501213,120,WSH,LF,30,22,4.37,27.0
Santander, Anthony,623993,110,BAL,RF,24,43,4.49,27.0
Hechavarria, Adeiny,588751,147,NYY,SS,29,127,4.43,27.0
Velazquez, Andrew,623205,139,TB,SS,24,6,,27.0
Mancini, Trey,641820,110,BAL,LF,26,273,4.51,27.0
Travis, Sam,607752,111,BOS,LF,25,23,4.49,27.0
Longoria, Evan,446334,137,SF,3B,33,191,4.46,26.9
O'Hearn, Ryan,656811,118,KC,1B,25,53,4.56,26.9
Travis, Devon,581527,141,TOR,2B,27,169,4.44,26.9
Gomes, Yan,543228,114,CLE,C,31,128,4.50,26.9
Lamb, Jake,571875,109,ARI,3B,28,96,4.36,26.9
Guerra, Javy,642770,135,SD,SS,23,7,,26.9
Kipnis, Jason,543401,114,CLE,2B,31,173,4.38,26.9
Goldschmidt, Paul,502671,109,ARI,1B,31,216,4.47,26.9
Santana, Domingo,570267,158,MIL,RF,26,87,4.51,26.9
Adrianza, Ehire,501303,142,MIN,SS,29,127,4.35,26.9
Cuthbert, Cheslor,596144,118,KC,3B,26,39,4.48,26.9
Dietrich, Derek,518618,146,MIA,LF,29,195,4.32,26.8
Knapp, Andrew,595284,143,PHI,C,27,59,4.32,26.8
Drury, Brandon,592273,141,TOR,3B,26,33,4.44,26.8
Galvis, Freddy,520471,135,SD,SS,29,214,4.34,26.8
Granderson, Curtis,434158,158,MIL,RF,37,100,4.30,26.8
Sano, Miguel,593934,142,MIN,3B,25,84,4.62,26.8
Ngoepe, Gift,547912,141,TOR,2B,28,6,,26.8
Reyes, Franmil,614177,135,SD,RF,23,101,4.54,26.8
Greiner, Grayson,606988,116,DET,C,26,47,4.55,26.8
Descalso, Daniel,518614,109,ARI,2B,32,122,4.37,26.8
Cowart, Kaleb,592230,108,LAA,2B,26,35,,26.8
