last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Caratini, Victor,605170,2019,279,188,0.266,0.257,0.009,0.447,0.432,0.015,0.338,0.335,0.003
Naylor, Josh,647304,2019,279,190,0.249,0.241,0.008,0.403,0.378,0.025,0.306,0.297,0.009
Dickerson, Corey,572816,2019,279,207,0.304,0.265,0.039,0.565,0.473,0.092,0.367,0.317,0.05
Kemp, Tony,643393,2019,279,203,0.212,0.207,0.005,0.38,0.293,0.087,0.285,0.262,0.023
White, Tyler,643603,2019,279,165,0.208,0.202,0.006,0.304,0.306,-0.002,0.274,0.274,0
McKinney, Billy,641856,2019,276,182,0.215,0.229,-0.014,0.422,0.374,0.048,0.292,0.285,0.007
Castro, Jason,488771,2019,275,151,0.232,0.249,-0.017,0.435,0.521,-0.086,0.328,0.364,-0.036
Mercer, Jordy,474568,2019,271,199,0.27,0.268,0.002,0.438,0.453,-0.015,0.315,0.319,-0.004
Shaw, Travis,543768,2019,270,141,0.157,0.183,-0.026,0.27,0.334,-0.064,0.248,0.278,-0.03
Maybin, Cameron,457727,2019,269,167,0.285,0.258,0.027,0.494,0.455,0.039,0.363,0.337,0.026
Beaty, Matt,607461,2019,268,216,0.265,0.28,-0.015,0.458,0.427,0.031,0.324,0.321,0.003
Nola, Austin,543592,2019,267,177,0.269,0.235,0.034,0.454,0.369,0.085,0.337,0.296,0.041
Martin, Leonys,547982,2019,264,161,0.199,0.191,0.008,0.343,0.337,0.006,0.269,0.265,0.004
Wendle, Joey,621563,2019,263,194,0.231,0.254,-0.023,0.34,0.335,0.005,0.275,0.285,-0.01
McCutchen, Andrew,457705,2019,262,164,0.256,0.254,0.002,0.457,0.444,0.013,0.358,0.355,0.003
Luplow, Jordan,656669,2019,261,165,0.276,0.248,0.028,0.551,0.468,0.083,0.383,0.348,0.035
VanMeter, Josh,642165,2019,260,173,0.237,0.243,-0.006,0.408,0.417,-0.009,0.316,0.324,-0.008
Prado, Martin,445988,2019,260,207,0.233,0.258,-0.025,0.294,0.342,-0.048,0.243,0.275,-0.032
Ervin, Phillip,640447,2019,260,175,0.271,0.234,0.037,0.466,0.37,0.096,0.334,0.295,0.039
Upton, Justin,457708,2019,256,146,0.215,0.215,0,0.416,0.415,0.001,0.307,0.312,-0.005
Allen, Greg,656185,2019,256,183,0.229,0.236,-0.007,0.346,0.341,0.005,0.274,0.282,-0.008
Hicks, Aaron,543305,2019,255,152,0.235,0.212,0.023,0.443,0.39,0.053,0.325,0.301,0.024
Nimmo, Brandon,607043,2019,254,132,0.221,0.219,0.002,0.407,0.348,0.059,0.34,0.33,0.01
Castillo, Welington,456078,2019,251,158,0.209,0.22,-0.011,0.417,0.43,-0.013,0.287,0.3,-0.013
Locastro, Tim,641796,2019,250,170,0.25,0.238,0.012,0.34,0.305,0.035,0.314,0.301,0.013
Urias, Luis,649966,2019,249,159,0.223,0.229,-0.006,0.326,0.352,-0.026,0.294,0.304,-0.01
Martin, Russell,431145,2019,249,151,0.22,0.223,-0.003,0.33,0.35,-0.02,0.295,0.306,-0.011
Brinson, Lewis,621446,2019,248,155,0.173,0.201,-0.028,0.221,0.294,-0.073,0.205,0.243,-0.038
